"","sample","undifferentiated_signature","undifferentiated_neural_crest_like_signature","neural_crest_like_signature","neural_crest_like_transitory_signature","transitory_signature","transitory-melanocytic_signature","melanocytic_signature"
"GSM2138506","GSM2138506",-0.45725739430917,-0.810375167259271,-0.911425950150636,-0.0356822553566358,0.894653310781454,0.608655521108897,-0.139588515695274
"GSM2138507","GSM2138507",-0.491171614027484,-0.934829651000837,-0.699807473524769,0.310020596091446,0.904757799359223,0.972392821395829,-0.18072432766143
"GSM2138508","GSM2138508",-0.474653558509265,-0.414941920707555,-0.144985997162802,0.216500048961182,0.624280374309451,0.30154393133007,-0.215328578710246
"GSM2138509","GSM2138509",-0.438620731267081,-0.674228178199072,-0.398326877872083,0.657498009149439,0.783091069562282,0.709073880828539,-0.0725236972493144
"GSM2138513","GSM2138513",-0.450403366092498,-0.400754121144764,-0.183551223058212,0.63390089441392,0.531152410177517,0.0766525882670923,-0.297193244246526
"GSM2138514","GSM2138514",-0.449710741565938,-0.6207993350376,-0.285645265814878,0.899449325826384,1.06554646577515,0.440231691019077,-0.257407223029906
"GSM2138515","GSM2138515",-0.601914975939784,-0.627624658068634,-0.426093631064903,-0.0929752053084241,0.711415229840679,0.901625608460133,0.300721424786188
"GSM2138516","GSM2138516",-0.464183549673689,-0.532020088409786,-0.225451224906396,-0.0792888359605297,0.679508783883866,0.833617684251319,0.374973097815559
"GSM2138520","GSM2138520",-0.405276540083733,-0.878423172872998,-0.868122650975304,-0.870179175528729,-0.189150849303307,0.94155354236522,1.18650323476958
"GSM2138521","GSM2138521",-0.651984958746571,-0.788638301949287,-0.499403542338236,-0.673017671643707,0.0811897636487908,0.90232019232073,1.14700071159087
"GSM2138524","GSM2138524",0.135289516150292,-0.108709759138842,0.141783497070037,-0.48567438529435,-0.222787407522701,0.502370483237308,1.0190695000533
"GSM2138525","GSM2138525",-0.118224338837032,-0.430977853292083,-0.0445425842543961,-0.17047243317596,0.14609261352871,0.750125043257145,0.992257306755191
"GSM2138526","GSM2138526",-0.231169327111154,-0.809192517019654,-0.527660815314901,-0.461607524566469,-0.103584135868099,0.998307668734815,1.34130726813381
"GSM2138528","GSM2138528",-0.539085260627622,-0.968097126779801,-0.842718494097222,-1.20716967091293,-0.614406816456316,0.920643763472224,1.5404638363177
